SigUF,DscClasseConsumo,AnmPeriodoReferencia,MdaPotenciaInstaladaKW
AC,Comercial,06/2023,124
AC,Comercial,07/2023,142
AC,Comercial,08/2023,135
AC,Comercial,09/2023,117
AC,Comercial,10/2023,112
AC,Industrial,06/2023,5
AC,Industrial,07/2023,6
AC,Industrial,08/2023,2
AC,Industrial,09/2023,3
AC,Industrial,10/2023,3
AC,Poder Público,06/2023,2
AC,Poder Público,07/2023,2
AC,Poder Público,08/2023,2
AC,Poder Público,09/2023,2
AC,Poder Público,10/2023,2
AC,Residencial,06/2023,766
AC,Residencial,07/2023,766
AC,Residencial,08/2023,750
AC,Residencial,09/2023,782
AC,Residencial,10/2023,782
AC,Rural,06/2023,47
AC,Rural,07/2023,44
AC,Rural,08/2023,44
AC,Rural,09/2023,47
AC,Rural,10/2023,53
AC,Serviço Público,10/2023,1
AL,Comercial,06/2023,597
AL,Comercial,07/2023,550
AL,Comercial,08/2023,585
AL,Comercial,09/2023,553
AL,Comercial,10/2023,556
AL,Industrial,06/2023,21
AL,Industrial,07/2023,39
AL,Industrial,08/2023,15
AL,Industrial,09/2023,38
AL,Industrial,10/2023,32
AL,Poder Público,06/2023,12
AL,Poder Público,07/2023,18
AL,Poder Público,08/2023,13
AL,Poder Público,09/2023,16
AL,Poder Público,10/2023,12
AL,Residencial,06/2023,3439
AL,Residencial,07/2023,3342
AL,Residencial,08/2023,3209
AL,Residencial,09/2023,3254
AL,Residencial,10/2023,3256
AL,Rural,06/2023,79
AL,Rural,07/2023,98
AL,Rural,08/2023,96
AL,Rural,09/2023,85
AL,Rural,10/2023,101
AL,Serviço Público,08/2023,1
AL,Serviço Público,09/2023,1
AM,Comercial,06/2023,207
AM,Comercial,07/2023,212
AM,Comercial,08/2023,199
AM,Comercial,09/2023,197
AM,Comercial,10/2023,214
AM,Industrial,06/2023,14
AM,Industrial,07/2023,16
AM,Industrial,08/2023,18
AM,Industrial,09/2023,12
AM,Industrial,10/2023,11
AM,Poder Público,06/2023,4
AM,Poder Público,07/2023,6
AM,Poder Público,08/2023,5
AM,Poder Público,09/2023,3
AM,Poder Público,10/2023,1
AM,Residencial,06/2023,1199
AM,Residencial,07/2023,1195
AM,Residencial,08/2023,1181
AM,Residencial,09/2023,1231
AM,Residencial,10/2023,1170
AM,Rural,06/2023,11
AM,Rural,07/2023,13
AM,Rural,08/2023,7
AM,Rural,09/2023,8
AM,Rural,10/2023,10
AP,Comercial,06/2023,31
AP,Comercial,07/2023,57
AP,Comercial,08/2023,57
AP,Comercial,09/2023,52
AP,Comercial,10/2023,33
AP,Industrial,06/2023,1
AP,Industrial,07/2023,1
AP,Industrial,10/2023,1
AP,Poder Público,06/2023,4
AP,Poder Público,07/2023,5
AP,Poder Público,08/2023,5
AP,Poder Público,09/2023,5
AP,Poder Público,10/2023,2
AP,Residencial,06/2023,472
AP,Residencial,07/2023,506
AP,Residencial,08/2023,472
AP,Residencial,09/2023,448
AP,Residencial,10/2023,480
AP,Rural,06/2023,2
AP,Rural,10/2023,1
AP,Serviço Público,09/2023,1
BA,Comercial,06/2023,45
BA,Comercial,07/2023,42
BA,Comercial,08/2023,25
BA,Comercial,09/2023,36
BA,Comercial,10/2023,40
BA,Industrial,06/2023,1
BA,Industrial,07/2023,6
BA,Industrial,08/2023,3
BA,Industrial,09/2023,2
BA,Industrial,10/2023,4
BA,Poder Público,06/2023,2
BA,Poder Público,07/2023,3
BA,Poder Público,08/2023,3
BA,Poder Público,09/2023,1
BA,Poder Público,10/2023,2
BA,Residencial,06/2023,109
BA,Residencial,07/2023,126
BA,Residencial,08/2023,131
BA,Residencial,09/2023,108
BA,Residencial,10/2023,104
BA,Rural,06/2023,2
BA,Rural,07/2023,5
BA,Rural,08/2023,3
BA,Rural,09/2023,8
BA,Rural,10/2023,4
SP,Residencial,06/2023,1
